# Manually converted from free_period.txt captured by Tek scope
# s?\([\-0-9\.]\+\)\s\([\-0-9\.]\+\)?\1,\2?g
6.46,-1.896
6.462,-1.904
6.464,-1.896
6.466,-1.904
6.468,-1.896
6.47,-1.896
6.472,-1.896
6.474,-1.896
6.476,-1.896
6.478,-1.896
6.48,-1.896
6.482,-1.896
6.484,-1.896
6.486,-1.896
6.488,-1.896
6.49,-1.896
6.492,-1.896
6.494,-1.904
6.496,-1.896
6.498,-1.896
6.5,-1.896
6.502,-1.896
6.504,-1.896
6.506,-1.904
6.508,-1.896
6.51,-1.904
6.512,-1.896
6.514,-1.904
6.516,-1.896
6.518,-1.904
6.52,-1.896
6.522,-1.904
6.524,-1.904
6.526,-1.896
6.528,-1.904
6.53,-1.904
6.532,-1.904
6.534,-1.904
6.536,-1.904
6.538,-1.904
6.54,-1.904
6.542,-1.904
6.544,-1.904
6.546,-1.904
6.548,-1.904
6.55,-1.904
6.552,-1.904
6.554,-1.904
6.556,-1.904
6.558,-1.904
6.56,-1.904
6.562,-1.912
6.564,-1.912
6.566,-1.912
6.568,-1.912
6.57,-1.912
6.572,-1.912
6.574,-1.912
6.576,-1.912
6.578,-1.912
6.58,-1.92
6.582,-1.92
6.584,-1.92
6.586,-1.92
6.588,-1.92
6.59,-1.92
6.592,-1.92
6.594,-1.92
6.596,-1.928
6.598,-1.928
6.6,-1.928
6.602,-1.928
6.604,-1.928
6.606,-1.928
6.608,-1.936
6.61,-1.936
6.612,-1.936
6.614,-1.936
6.616,-1.936
6.618,-1.936
6.62,-1.936
6.622,-1.944
6.624,-1.936
6.626,-1.944
6.628,-1.936
6.63,-1.944
6.632,-1.944
6.634,-1.944
6.636,-1.944
6.638,-1.944
6.64,-1.952
6.642,-1.952
6.644,-1.952
6.646,-1.952
6.648,-1.952
6.65,-1.952
6.652,-1.952
6.654,-1.952
6.656,-1.952
6.658,-1.96
6.66,-1.96
6.662,-1.96
6.664,-1.96
6.666,-1.96
6.668,-1.968
6.67,-1.96
6.672,-1.968
6.674,-1.968
6.676,-1.968
6.678,-1.968
6.68,-1.968
6.682,-1.968
6.684,-1.968
6.686,-1.968
6.688,-1.968
6.69,-1.968
6.692,-1.976
6.694,-1.976
6.696,-1.976
6.698,-1.976
6.7,-1.984
6.702,-1.984
6.704,-1.984
6.706,-1.984
6.708,-1.984
6.71,-1.984
6.712,-1.984
6.714,-1.984
6.716,-1.992
6.718,-1.992
6.72,-1.992
6.722,-1.992
6.724,-1.992
6.726,-1.992
6.728,-2
6.73,-2
6.732,-2
6.734,-2
6.736,-2
6.738,-2
6.74,-2
6.742,-2
6.744,-2.008
6.746,-2.008
6.748,-2.008
6.75,-2.008
6.752,-2.008
6.754,-2.016
6.756,-2.016
6.758,-2.016
6.76,-2.016
6.762,-2.024
6.764,-2.024
6.766,-2.024
6.768,-2.024
6.77,-2.024
6.772,-2.032
6.774,-2.032
6.776,-2.032
6.778,-2.032
6.78,-2.032
6.782,-2.04
6.784,-2.04
6.786,-2.04
6.788,-2.04
6.79,-2.048
6.792,-2.048
6.794,-2.048
6.796,-2.048
6.798,-2.048
6.8,-2.048
6.802,-2.048
6.804,-2.056
6.806,-2.064
6.808,-2.056
6.81,-2.064
6.812,-2.064
6.814,-2.064
6.816,-2.072
6.818,-2.072
6.82,-2.072
6.822,-2.072
6.824,-2.072
6.826,-2.08
6.828,-2.08
6.83,-2.08
6.832,-2.08
6.834,-2.08
6.836,-2.088
6.838,-2.088
6.84,-2.088
6.842,-2.088
6.844,-2.088
6.846,-2.096
6.848,-2.096
6.85,-2.096
6.852,-2.096
6.854,-2.096
6.856,-2.096
6.858,-2.104
6.86,-2.104
6.862,-2.104
6.864,-2.104
6.866,-2.104
6.868,-2.112
6.87,-2.112
6.872,-2.112
6.874,-2.112
6.876,-2.112
6.878,-2.112
6.88,-2.12
6.882,-2.12
6.884,-2.12
6.886,-2.128
6.888,-2.12
6.89,-2.128
6.892,-2.128
6.894,-2.128
6.896,-2.136
6.898,-2.136
6.9,-2.136
6.902,-2.136
6.904,-2.136
6.906,-2.136
6.908,-2.144
6.91,-2.144
6.912,-2.144
6.914,-2.144
6.916,-2.144
6.918,-2.152
6.92,-2.152
6.922,-2.152
6.924,-2.152
6.926,-2.152
6.928,-2.152
6.93,-2.152
6.932,-2.16
6.934,-2.16
6.936,-2.16
6.938,-2.16
6.94,-2.168
6.942,-2.168
6.944,-2.168
6.946,-2.176
6.948,-2.176
6.95,-2.176
6.952,-2.176
6.954,-2.176
6.956,-2.176
6.958,-2.184
6.96,-2.184
6.962,-2.184
6.964,-2.192
6.966,-2.192
6.968,-2.192
6.97,-2.192
6.972,-2.192
6.974,-2.192
6.976,-2.2
6.978,-2.2
6.98,-2.2
6.982,-2.208
6.984,-2.2
6.986,-2.208
6.988,-2.208
6.99,-2.216
6.992,-2.216
6.994,-2.216
6.996,-2.216
6.998,-2.216
7,-2.216
7.002,-2.224
7.004,-2.224
7.006,-2.224
7.008,-2.232
7.01,-2.232
7.012,-2.232
7.014,-2.232
7.016,-2.232
7.018,-2.24
7.02,-2.24
7.022,-2.24
7.024,-2.24
7.026,-2.248
7.028,-2.248
7.03,-2.248
7.032,-2.248
7.034,-2.248
7.036,-2.248
7.038,-2.256
7.04,-2.256
7.042,-2.256
7.044,-2.256
7.046,-2.264
7.048,-2.264
7.05,-2.264
7.052,-2.264
7.054,-2.264
7.056,-2.264
7.058,-2.272
7.06,-2.28
7.062,-2.272
7.064,-2.28
